Day,TimeSlot,Room,Course,Year,Division,Subject,Teacher
Monday,09:00-10:00,1107,IT,FY,D,COA - Computer Org. & Architecture,KGT
Monday,09:00-10:00,1003,IT,FY,E,AI - Artificial Intelligence,AMK
Monday,09:00-10:00,1214,IT,SY,C,GP - General Proficiency,VKJ
Monday,09:00-10:00,4102,IT,SY,D,CN - Computer Networks,AAB
Monday,09:00-10:00,3320,IT,TY,A,IKS - Indian Knowledge System,KGT
Monday,09:00-10:00,2216,IT,TY,B,ML - Machine Learning,AMK
Monday,09:00-10:00,1205,IT,TY,D,IKS - Indian Knowledge System,KGT
Monday,09:00-10:00,1000,IT,LY,A,OS - Operating Systems,JAK
Monday,09:00-10:00,3211,IT,LY,B,ML - Machine Learning,AMK
Monday,09:00-10:00,2207,IT,LY,C,SRM - Scientific Research Methods,VKJ
Monday,09:00-10:00,1321,IT,LY,D,CN - Computer Networks,PNM
Monday,09:00-10:00,3112,IT,LY,E,DBMS - Database Management Systems,AMK
Monday,09:00-10:00,4122,CS(AI),FY,B,ML - Machine Learning,PNM
Monday,09:00-10:00,2121,CS(AI),FY,C,CN - Computer Networks,SRH
Monday,09:00-10:00,4013,CS(AI),FY,D,ML - Machine Learning,VKJ
Monday,09:00-10:00,3323,CS(AI),SY,A,PSP - Problem Solving & Programming,KGT
Monday,09:00-10:00,1302,CS(AI),SY,B,AI - Artificial Intelligence,SRH
Monday,09:00-10:00,4112,CS(AI),SY,C,CN - Computer Networks,AMK
Monday,09:00-10:00,4202,CS(AI),SY,D,DBMS - Database Management Systems,VKJ
Monday,09:00-10:00,1122,CS(AI),SY,E,GP - General Proficiency,SRH
Monday,09:00-10:00,4212,CS(AI),TY,C,ML - Machine Learning,PNM
Monday,09:00-10:00,2120,CS(AI),TY,D,WD - Web Development,PNM
Monday,09:00-10:00,4203,CS(AI),LY,A,CN - Computer Networks,SRH
Monday,09:00-10:00,2112,CS(AI),LY,C,WD - Web Development,AAB
Monday,09:00-10:00,2209,CS(AI),LY,D,ML - Machine Learning,AMK
Monday,09:00-10:00,2202,CS(AI),LY,E,RAAD - Reasoning and Aptitude Dev.,KGT
Monday,09:00-10:00,2224,CS(AIML),FY,A,CN - Computer Networks,AMK
Monday,09:00-10:00,3317,CS(AIML),FY,B,OS - Operating Systems,KGT
Monday,09:00-10:00,2024,CS(AIML),FY,E,DBMS - Database Management Systems,AAB
Monday,09:00-10:00,1317,CS(AIML),SY,B,CN - Computer Networks,AAB
Monday,09:00-10:00,4108,CS(AIML),SY,D,LADE - Linear Algebra & Diff. Equations,PNM
Monday,09:00-10:00,1108,CS(AIML),SY,E,LADE - Linear Algebra & Diff. Equations,PNM
Monday,09:00-10:00,3121,CS(AIML),TY,A,OS - Operating Systems,PNM
Monday,09:00-10:00,1004,CS(AIML),TY,B,AI - Artificial Intelligence,AMK
Monday,09:00-10:00,2123,CS(AIML),TY,C,WD - Web Development,JAK
Monday,09:00-10:00,4113,CS(AIML),TY,D,OS - Operating Systems,VKJ
Monday,09:00-10:00,1222,CS(AIML),TY,E,OS - Operating Systems,AAB
Monday,09:00-10:00,1207,CS(AIML),LY,B,CN - Computer Networks,KGT
Monday,09:00-10:00,3319,CS(AIML),LY,C,AI - Artificial Intelligence,SRH
Monday,09:00-10:00,2124,CS(AIML),LY,D,LADE - Linear Algebra & Diff. Equations,AMK
Monday,09:00-10:00,3303,AIDS,FY,A,COA - Computer Org. & Architecture,PNM
Monday,09:00-10:00,4324,AIDS,FY,B,LADE - Linear Algebra & Diff. Equations,AAB
Monday,09:00-10:00,1120,AIDS,FY,C,LADE - Linear Algebra & Diff. Equations,VKJ
Monday,09:00-10:00,4202,AIDS,FY,E,RAAD - Reasoning and Aptitude Dev.,AAB
Monday,09:00-10:00,3200,AIDS,SY,A,SRM - Scientific Research Methods,PNM
Monday,09:00-10:00,1205,AIDS,SY,C,OS - Operating Systems,KGT
Monday,09:00-10:00,4219,AIDS,SY,E,AI - Artificial Intelligence,VKJ
Monday,09:00-10:00,2108,AIDS,TY,A,RAAD - Reasoning and Aptitude Dev.,AAB
Monday,09:00-10:00,3015,AIDS,TY,B,GP - General Proficiency,KGT
Monday,09:00-10:00,2004,AIDS,TY,C,PSP - Problem Solving & Programming,AAB
Monday,09:00-10:00,3304,AIDS,TY,E,LADE - Linear Algebra & Diff. Equations,AMK
Monday,09:00-10:00,4013,AIDS,LY,B,COA - Computer Org. & Architecture,VKJ
Monday,09:00-10:00,1115,AIDS,LY,C,AI - Artificial Intelligence,PNM
Monday,09:00-10:00,2311,AIDS,LY,E,IKS - Indian Knowledge System,AAB
Monday,10:00-11:00,4314,CS,FY,A,LADE - Linear Algebra & Diff. Equations,KGT
Monday,10:00-11:00,2012,CS,FY,C,GP - General Proficiency,AAB
Monday,10:00-11:00,4205,CS,FY,D,WD - Web Development,PNM
Monday,10:00-11:00,2015,CS,FY,E,DBMS - Database Management Systems,PNM
Monday,10:00-11:00,2019,CS,SY,A,WD - Web Development,KGT
Monday,10:00-11:00,1110,CS,SY,C,DBMS - Database Management Systems,AMK
Monday,10:00-11:00,1301,CS,SY,E,SRM - Scientific Research Methods,AAB
Monday,10:00-11:00,2009,CS,TY,B,ML - Machine Learning,AMK
Monday,10:00-11:00,4215,CS,TY,C,RAAD - Reasoning and Aptitude Dev.,AMK
Monday,10:00-11:00,3223,CS,LY,A,DBMS - Database Management Systems,SRH
Monday,10:00-11:00,4311,CS,LY,B,COA - Computer Org. & Architecture,KGT
Monday,10:00-11:00,3218,CS,LY,C,CN - Computer Networks,KGT
Monday,10:00-11:00,3201,CS,LY,D,LADE - Linear Algebra & Diff. Equations,SRH
Monday,10:00-11:00,1104,CS,LY,E,COA - Computer Org. & Architecture,VKJ
Monday,10:00-11:00,4206,IT,FY,C,LADE - Linear Algebra & Diff. Equations,KGT
Monday,10:00-11:00,1012,IT,FY,D,AI - Artificial Intelligence,AAB
Monday,10:00-11:00,3109,IT,FY,E,SRM - Scientific Research Methods,PNM
Monday,10:00-11:00,2208,IT,SY,B,WD - Web Development,KGT
Monday,10:00-11:00,4314,IT,SY,D,PSP - Problem Solving & Programming,SRH
Monday,10:00-11:00,1304,IT,SY,E,OS - Operating Systems,VKJ
Monday,10:00-11:00,4120,IT,TY,A,OS - Operating Systems,PNM
Monday,10:00-11:00,3114,IT,TY,B,SRM - Scientific Research Methods,KGT
Monday,10:00-11:00,4316,IT,TY,C,DBMS - Database Management Systems,KGT
Monday,10:00-11:00,4124,IT,TY,D,LADE - Linear Algebra & Diff. Equations,SRH
Monday,10:00-11:00,2308,IT,TY,E,WD - Web Development,JAK
Monday,10:00-11:00,3203,IT,LY,B,ML - Machine Learning,AMK
Monday,10:00-11:00,2007,IT,LY,C,OS - Operating Systems,JAK
Monday,10:00-11:00,2101,IT,LY,D,PSP - Problem Solving & Programming,SRH
Monday,10:00-11:00,1220,IT,LY,E,COA - Computer Org. & Architecture,JAK
Monday,10:00-11:00,3012,CS(AI),FY,A,SRM - Scientific Research Methods,KGT
Monday,10:00-11:00,2311,CS(AI),FY,C,LADE - Linear Algebra & Diff. Equations,SRH
Monday,10:00-11:00,3312,CS(AI),FY,E,LADE - Linear Algebra & Diff. Equations,AAB
Monday,10:00-11:00,4102,CS(AI),SY,A,LADE - Linear Algebra & Diff. Equations,JAK
Monday,10:00-11:00,4324,CS(AI),SY,B,IKS - Indian Knowledge System,KGT
Monday,10:00-11:00,3200,CS(AI),SY,C,CN - Computer Networks,VKJ
Monday,10:00-11:00,4117,CS(AI),SY,D,DBMS - Database Management Systems,AMK
Monday,10:00-11:00,4200,CS(AI),SY,E,AI - Artificial Intelligence,VKJ
Monday,10:00-11:00,1124,CS(AI),TY,A,OS - Operating Systems,PNM
Monday,10:00-11:00,3010,CS(AI),TY,B,PSP - Problem Solving & Programming,SRH
Monday,10:00-11:00,4302,CS(AI),TY,C,RAAD - Reasoning and Aptitude Dev.,PNM
Monday,10:00-11:00,1321,CS(AI),TY,D,SRM - Scientific Research Methods,KGT
Monday,10:00-11:00,4203,CS(AI),TY,E,WD - Web Development,KGT
Monday,10:00-11:00,3118,CS(AI),LY,A,IKS - Indian Knowledge System,AMK
Monday,10:00-11:00,4111,CS(AI),LY,C,LADE - Linear Algebra & Diff. Equations,KGT
Monday,10:00-11:00,2309,CS(AI),LY,D,CN - Computer Networks,KGT
Monday,10:00-11:00,1220,CS(AI),LY,E,DBMS - Database Management Systems,VKJ
Monday,10:00-11:00,4301,CS(AIML),FY,A,OS - Operating Systems,JAK
Monday,10:00-11:00,1209,CS(AIML),FY,C,AI - Artificial Intelligence,AMK
Monday,10:00-11:00,4202,CS(AIML),FY,D,RAAD - Reasoning and Aptitude Dev.,JAK
Monday,10:00-11:00,2219,CS(AIML),SY,B,RAAD - Reasoning and Aptitude Dev.,JAK
Monday,10:00-11:00,3201,CS(AIML),SY,C,LADE - Linear Algebra & Diff. Equations,SRH
Monday,10:00-11:00,2006,CS(AIML),SY,D,DBMS - Database Management Systems,JAK
Monday,10:00-11:00,1201,CS(AIML),SY,E,SRM - Scientific Research Methods,VKJ
Monday,10:00-11:00,2009,CS(AIML),TY,B,CN - Computer Networks,SRH
Monday,10:00-11:00,2303,CS(AIML),TY,D,COA - Computer Org. & Architecture,AMK
Monday,10:00-11:00,1114,CS(AIML),TY,E,ML - Machine Learning,JAK
Monday,10:00-11:00,2212,CS(AIML),LY,B,IKS - Indian Knowledge System,PNM
Monday,10:00-11:00,2317,CS(AIML),LY,C,SRM - Scientific Research Methods,KGT
Monday,10:00-11:00,1318,CS(AIML),LY,D,CN - Computer Networks,KGT
Monday,10:00-11:00,4207,AIDS,FY,B,COA - Computer Org. & Architecture,KGT
Monday,10:00-11:00,4223,AIDS,FY,D,LADE - Linear Algebra & Diff. Equations,AMK
Monday,10:00-11:00,1313,AIDS,FY,E,PSP - Problem Solving & Programming,JAK
Monday,10:00-11:00,3021,AIDS,SY,B,WD - Web Development,JAK
Monday,10:00-11:00,4008,AIDS,SY,C,DBMS - Database Management Systems,JAK
Monday,10:00-11:00,1214,AIDS,SY,D,IKS - Indian Knowledge System,VKJ
Monday,10:00-11:00,3323,AIDS,SY,E,LADE - Linear Algebra & Diff. Equations,KGT
Monday,10:00-11:00,3017,AIDS,TY,B,SRM - Scientific Research Methods,AAB
Monday,10:00-11:00,2224,AIDS,TY,C,LADE - Linear Algebra & Diff. Equations,SRH
Monday,10:00-11:00,3320,AIDS,TY,D,DBMS - Database Management Systems,AMK
Monday,10:00-11:00,4023,AIDS,LY,A,IKS - Indian Knowledge System,SRH
Monday,10:00-11:00,1310,AIDS,LY,B,GP - General Proficiency,PNM
Monday,10:00-11:00,1021,AIDS,LY,C,WD - Web Development,SRH
Monday,10:00-11:00,1218,AIDS,LY,D,IKS - Indian Knowledge System,JAK
Monday,10:00-11:00,3201,AIDS,LY,E,SRM - Scientific Research Methods,VKJ
Monday,11:00-12:00,3113,CS,FY,A,IKS - Indian Knowledge System,PNM
Monday,11:00-12:00,1022,CS,FY,B,GP - General Proficiency,AAB
Monday,11:00-12:00,4321,CS,FY,D,OS - Operating Systems,AMK
Monday,11:00-12:00,1018,CS,SY,A,OS - Operating Systems,AMK
Monday,11:00-12:00,2321,CS,SY,B,LADE - Linear Algebra & Diff. Equations,AAB
Monday,11:00-12:00,3000,CS,SY,C,LADE - Linear Algebra & Diff. Equations,AMK
Monday,11:00-12:00,4108,CS,SY,D,CN - Computer Networks,SRH
Monday,11:00-12:00,4101,CS,SY,E,OS - Operating Systems,AMK
Monday,11:00-12:00,2313,CS,TY,A,SRM - Scientific Research Methods,VKJ
Monday,11:00-12:00,4019,CS,TY,B,AI - Artificial Intelligence,VKJ
Monday,11:00-12:00,4106,CS,TY,C,RAAD - Reasoning and Aptitude Dev.,AAB
Monday,11:00-12:00,3101,CS,TY,D,DBMS - Database Management Systems,VKJ
Monday,11:00-12:00,1311,CS,LY,A,ML - Machine Learning,SRH
Monday,11:00-12:00,3206,CS,LY,D,RAAD - Reasoning and Aptitude Dev.,AAB
Monday,11:00-12:00,1221,CS,LY,E,GP - General Proficiency,VKJ
Monday,11:00-12:00,3321,IT,FY,B,LADE - Linear Algebra & Diff. Equations,AMK
Monday,11:00-12:00,1210,IT,FY,C,PSP - Problem Solving & Programming,AMK
Monday,11:00-12:00,3310,IT,FY,D,OS - Operating Systems,VKJ
Monday,11:00-12:00,1208,IT,FY,E,IKS - Indian Knowledge System,SRH
Monday,11:00-12:00,3316,IT,SY,A,SRM - Scientific Research Methods,JAK
Monday,11:00-12:00,4022,IT,SY,B,ML - Machine Learning,VKJ
Monday,11:00-12:00,1017,IT,SY,E,WD - Web Development,SRH
Monday,11:00-12:00,4310,IT,TY,C,ML - Machine Learning,AAB
Monday,11:00-12:00,2217,IT,TY,D,AI - Artificial Intelligence,AAB
Monday,11:00-12:00,2302,IT,LY,A,CN - Computer Networks,PNM
Monday,11:00-12:00,1217,IT,LY,D,SRM - Scientific Research Methods,VKJ
Monday,11:00-12:00,4319,IT,LY,E,AI - Artificial Intelligence,JAK
Monday,11:00-12:00,1322,CS(AI),FY,A,GP - General Proficiency,KGT
Monday,11:00-12:00,4310,CS(AI),FY,C,LADE - Linear Algebra & Diff. Equations,KGT
Monday,11:00-12:00,4110,CS(AI),FY,D,DBMS - Database Management Systems,JAK
Monday,11:00-12:00,4106,CS(AI),SY,A,GP - General Proficiency,AAB
Monday,11:00-12:00,1219,CS(AI),SY,C,DBMS - Database Management Systems,VKJ
Monday,11:00-12:00,4117,CS(AI),SY,E,RAAD - Reasoning and Aptitude Dev.,JAK
Monday,11:00-12:00,4106,CS(AI),TY,B,SRM - Scientific Research Methods,PNM
Monday,11:00-12:00,2210,CS(AI),TY,C,RAAD - Reasoning and Aptitude Dev.,AMK
Monday,11:00-12:00,4221,CS(AI),LY,A,LADE - Linear Algebra & Diff. Equations,VKJ
Monday,11:00-12:00,2315,CS(AI),LY,D,GP - General Proficiency,AAB
Monday,11:00-12:00,1001,CS(AI),LY,E,CN - Computer Networks,VKJ
Monday,11:00-12:00,1209,CS(AIML),FY,C,COA - Computer Org. & Architecture,AMK
Monday,11:00-12:00,1307,CS(AIML),FY,D,SRM - Scientific Research Methods,VKJ
Monday,11:00-12:00,4306,CS(AIML),SY,D,COA - Computer Org. & Architecture,SRH
Monday,11:00-12:00,3216,CS(AIML),SY,E,GP - General Proficiency,AMK
Monday,11:00-12:00,1220,CS(AIML),TY,A,CN - Computer Networks,JAK
Monday,11:00-12:00,4112,CS(AIML),TY,C,ML - Machine Learning,AMK
Monday,11:00-12:00,1121,CS(AIML),LY,A,CN - Computer Networks,VKJ
Monday,11:00-12:00,1008,CS(AIML),LY,D,RAAD - Reasoning and Aptitude Dev.,VKJ
Monday,11:00-12:00,1014,CS(AIML),LY,E,OS - Operating Systems,AMK
Monday,11:00-12:00,1218,AIDS,FY,A,LADE - Linear Algebra & Diff. Equations,AAB
Monday,11:00-12:00,2223,AIDS,FY,B,WD - Web Development,KGT
Monday,11:00-12:00,1103,AIDS,FY,E,GP - General Proficiency,SRH
Monday,11:00-12:00,2120,AIDS,SY,A,COA - Computer Org. & Architecture,AMK
Monday,11:00-12:00,3018,AIDS,SY,B,COA - Computer Org. & Architecture,JAK
Monday,11:00-12:00,3101,AIDS,SY,D,PSP - Problem Solving & Programming,PNM
Monday,11:00-12:00,4308,AIDS,TY,A,CN - Computer Networks,AAB
Monday,11:00-12:00,1109,AIDS,TY,B,GP - General Proficiency,PNM
Monday,11:00-12:00,2107,AIDS,TY,C,SRM - Scientific Research Methods,SRH
Monday,11:00-12:00,2104,AIDS,TY,D,LADE - Linear Algebra & Diff. Equations,SRH
Monday,11:00-12:00,1208,AIDS,TY,E,LADE - Linear Algebra & Diff. Equations,KGT
Monday,11:00-12:00,3221,AIDS,LY,A,SRM - Scientific Research Methods,JAK
Monday,11:00-12:00,3216,AIDS,LY,D,ML - Machine Learning,AMK
Monday,11:00-12:00,2314,AIDS,LY,E,COA - Computer Org. & Architecture,KGT
Monday,12:00-13:00,1209,CS,FY,A,COA - Computer Org. & Architecture,AMK
Monday,12:00-13:00,4001,CS,FY,C,RAAD - Reasoning and Aptitude Dev.,JAK
Monday,12:00-13:00,2004,CS,FY,D,IKS - Indian Knowledge System,PNM
Monday,12:00-13:00,4304,CS,SY,A,OS - Operating Systems,AMK
Monday,12:00-13:00,4216,CS,SY,B,COA - Computer Org. & Architecture,AAB
Monday,12:00-13:00,3320,CS,SY,D,OS - Operating Systems,JAK
Monday,12:00-13:00,2101,CS,SY,E,WD - Web Development,KGT
Monday,12:00-13:00,2317,CS,TY,A,GP - General Proficiency,SRH
Monday,12:00-13:00,1306,CS,TY,B,AI - Artificial Intelligence,AAB
Monday,12:00-13:00,1100,CS,LY,A,COA - Computer Org. & Architecture,JAK
Monday,12:00-13:00,2005,CS,LY,B,COA - Computer Org. & Architecture,JAK
Monday,12:00-13:00,3015,CS,LY,C,OS - Operating Systems,KGT
Monday,12:00-13:00,4220,CS,LY,D,CN - Computer Networks,KGT
Monday,12:00-13:00,1321,CS,LY,E,RAAD - Reasoning and Aptitude Dev.,AMK
Monday,12:00-13:00,3001,IT,FY,A,ML - Machine Learning,AMK
Monday,12:00-13:00,3103,IT,FY,B,LADE - Linear Algebra & Diff. Equations,SRH
Monday,12:00-13:00,3121,IT,FY,C,RAAD - Reasoning and Aptitude Dev.,PNM
Monday,12:00-13:00,1221,IT,FY,D,LADE - Linear Algebra & Diff. Equations,JAK
Monday,12:00-13:00,4001,IT,FY,E,WD - Web Development,AMK
Monday,12:00-13:00,4018,IT,SY,A,AI - Artificial Intelligence,KGT
Monday,12:00-13:00,2311,IT,SY,B,IKS - Indian Knowledge System,KGT
Monday,12:00-13:00,3206,IT,SY,C,IKS - Indian Knowledge System,KGT
Monday,12:00-13:00,1102,IT,SY,D,ML - Machine Learning,AAB
Monday,12:00-13:00,2111,IT,SY,E,LADE - Linear Algebra & Diff. Equations,AAB
Monday,12:00-13:00,2106,IT,TY,B,PSP - Problem Solving & Programming,AMK
Monday,12:00-13:00,3211,IT,TY,D,COA - Computer Org. & Architecture,KGT
Monday,12:00-13:00,4300,IT,TY,E,OS - Operating Systems,SRH
Monday,12:00-13:00,2219,IT,LY,C,IKS - Indian Knowledge System,AAB
Monday,12:00-13:00,2201,IT,LY,E,LADE - Linear Algebra & Diff. Equations,AAB
Monday,12:00-13:00,1204,CS(AI),FY,A,LADE - Linear Algebra & Diff. Equations,SRH
Monday,12:00-13:00,1019,CS(AI),FY,B,OS - Operating Systems,PNM
Monday,12:00-13:00,2114,CS(AI),FY,C,AI - Artificial Intelligence,KGT
Monday,12:00-13:00,2203,CS(AI),FY,D,GP - General Proficiency,SRH
Monday,12:00-13:00,1202,CS(AI),FY,E,COA - Computer Org. & Architecture,JAK
Monday,12:00-13:00,2119,CS(AI),SY,A,IKS - Indian Knowledge System,PNM
Monday,12:00-13:00,1223,CS(AI),SY,B,OS - Operating Systems,KGT
Monday,12:00-13:00,3215,CS(AI),SY,C,IKS - Indian Knowledge System,AAB
Monday,12:00-13:00,1014,CS(AI),SY,D,IKS - Indian Knowledge System,VKJ
Monday,12:00-13:00,2015,CS(AI),SY,E,DBMS - Database Management Systems,KGT
Monday,12:00-13:00,3205,CS(AI),TY,A,DBMS - Database Management Systems,KGT
Monday,12:00-13:00,1224,CS(AI),TY,B,WD - Web Development,KGT
Monday,12:00-13:00,2100,CS(AI),TY,C,WD - Web Development,AMK
Monday,12:00-13:00,3309,CS(AI),TY,E,WD - Web Development,PNM
Monday,12:00-13:00,4308,CS(AI),LY,A,WD - Web Development,SRH
Monday,12:00-13:00,2318,CS(AI),LY,B,GP - General Proficiency,PNM
Monday,12:00-13:00,2320,CS(AI),LY,C,WD - Web Development,VKJ
Monday,12:00-13:00,2322,CS(AI),LY,D,LADE - Linear Algebra & Diff. Equations,SRH
